index,latitude,longitude
204,40.9032977,-74.6643383
205,40.9003546,-74.6629787
206,40.8973541,-74.6613777
207,40.8943581,-74.6595544
208,40.8914255,-74.657535
209,40.8886151,-74.6553457
210,40.8859857,-74.6530129
211,40.8835962,-74.6505628
212,40.8815054,-74.6480218
213,40.8797722,-74.645416
214,40.8784554,-74.6427718
215,40.8776139,-74.6401154
216,40.8773064,-74.6374731
217,40.8775918,-74.6348713
218,40.8785283,-74.632336
219,40.8800934,-74.6298788
220,40.8821091,-74.627483
221,40.8843798,-74.6251287
222,40.8867097,-74.622796
223,40.8889031,-74.6204651
224,40.8907711,-74.6181165
225,40.8923386,-74.6157476
226,40.8938816,-74.6133755
227,40.8956784,-74.6110173
228,40.8977058,-74.6086639
229,40.8996263,-74.6062791
230,40.9011012,-74.6038269
231,40.9020085,-74.6012936
232,40.9024025,-74.5986843
233,40.9023427,-74.5960044
234,40.9018887,-74.5932592
235,40.9010998,-74.5904541
236,40.9000356,-74.5875947
237,40.8987555,-74.5846863
238,40.8973191,-74.5817344
239,40.8957859,-74.5787443
240,40.8942152,-74.5757215
241,40.8926666,-74.5726714
242,40.8911996,-74.5695995
243,40.8898737,-74.5665111
244,40.8887483,-74.5634117
245,40.8878829,-74.5603068
246,40.8873371,-74.5572016
247,40.8871702,-74.5541017
248,40.8874419,-74.5510125
249,40.8880866,-74.5479436
250,40.8886101,-74.5449192
251,40.8884263,-74.5419668
252,40.8870064,-74.5391175
253,40.8847554,-74.5364635
254,40.8828357,-74.5341472
255,40.8822941,-74.5322737
256,40.8830939,-74.530646
257,40.8846851,-74.528924
258,40.8866274,-74.5268969
259,40.8888142,-74.5247377
260,40.8912002,-74.5226903
261,40.8937316,-74.5209669
262,40.8962771,-74.5194855
263,40.8986625,-74.5180034
264,40.9007132,-74.5162764
265,40.9022568,-74.5140639
266,40.9032162,-74.5113046
267,40.9036502,-74.5081927
268,40.9036279,-74.5049417
269,40.9032237,-74.5017502
270,40.9025651,-74.4986689
271,40.9018095,-74.4956637
272,40.9011151,-74.4926996
273,40.9006387,-74.4897416
274,40.9004703,-74.4867662
275,40.9005935,-74.4837679
276,40.9009828,-74.4807428
277,40.9016123,-74.477687
278,40.9024566,-74.4745966
279,40.9034861,-74.4714713
280,40.9046632,-74.4683196
281,40.905949,-74.465151
282,40.9073044,-74.4619751
283,40.9086905,-74.4588014
284,40.9100684,-74.4556395
285,40.911399,-74.452499
286,40.9126434,-74.4493895
287,40.9137628,-74.4463205
288,40.914718,-74.4433017
289,40.9154702,-74.4403425
290,40.9159804,-74.4374525
291,40.9162096,-74.4346414
292,40.9161189,-74.4319187
293,40.9156693,-74.429294
294,40.9148218,-74.4267768
295,40.9135376,-74.4243767
296,40.9119304,-74.4220385
297,40.911032,-74.4194069
298,40.9087118,-74.4184373
299,40.9072024,-74.4163466
300,40.9059499,-74.4136895
301,40.9042076,-74.4110734
302,40.9036932,-74.4085204
303,40.904239,-74.4059256
304,40.905161,-74.4032141
305,40.9061758,-74.4003852
306,40.9072446,-74.3974827
307,40.9083318,-74.3945512
308,40.9094019,-74.3916353
309,40.9104195,-74.3887795
310,40.9113513,-74.3860288
311,40.9123051,-74.383442
312,40.9136076,-74.3810675
313,40.9155866,-74.3787162
314,40.9184523,-74.3761225
315,40.9204179,-74.3735642
316,40.9188978,-74.3715941
317,40.9166189,-74.3696419
318,40.915572,-74.3672823
319,40.9153341,-74.3645919
320,40.9153989,-74.3616641
321,40.915316,-74.3585943
322,40.9153033,-74.3554961
323,40.9158083,-74.3524959
324,40.9169111,-74.3497203
325,40.9185348,-74.3472093
326,40.920404,-74.3448576
327,40.9222241,-74.3425458
328,40.9237033,-74.3401554
329,40.9247078,-74.3376123
330,40.9253434,-74.3349104
331,40.9257365,-74.3320493
332,40.9260137,-74.3290287
333,40.9263722,-74.325884
334,40.9271337,-74.3227138
335,40.9284728,-74.3195856
336,40.9303342,-74.3165114
337,40.9326449,-74.3134995
338,40.9353317,-74.3105579
339,40.9383218,-74.3076947
340,40.941542,-74.3049178
341,40.9449192,-74.3022355
342,40.9483806,-74.2996557
343,40.9518529,-74.2971866
344,40.9552632,-74.2948362
345,40.9585385,-74.2926126
346,40.9616056,-74.2905238
347,40.9643915,-74.2885779
348,40.9668233,-74.286783
349,40.9688278,-74.2851471
350,40.970332,-74.2836784
351,40.9712629,-74.2823848
352,40.9715474,-74.2812745
353,40.9711125,-74.2803556
354,40.9698852,-74.279636
355,40.9677924,-74.2791239
356,40.9648609,-74.2787924
357,40.9615906,-74.2784501
358,40.9584844,-74.2779429
359,40.9555478,-74.2774315
360,40.9526736,-74.2771476
361,40.9497546,-74.2773229
362,40.9467329,-74.2780368
363,40.9436848,-74.2789564
364,40.9407088,-74.2796798
