index,latitude,longitude
171,40.9000572,-74.5895753
172,40.898131,-74.5854124
173,40.8959132,-74.5811456
174,40.8935908,-74.5768165
175,40.891351,-74.5724667
176,40.8893811,-74.568138
177,40.8878681,-74.5638721
178,40.8869993,-74.5597107
179,40.8869618,-74.5556955
180,40.8877401,-74.5517753
181,40.888471,-74.5475185
182,40.88833,-74.5429654
183,40.8869203,-74.5390365
184,40.8846227,-74.5360596
185,40.8828099,-74.5334662
186,40.882905,-74.5306347
187,40.8852737,-74.5274883
188,40.8886805,-74.5247707
189,40.8921592,-74.5227581
190,40.8954793,-74.5207492
191,40.8984796,-74.5181611
192,40.9009769,-74.5150158
193,40.9027837,-74.5114374
194,40.9037129,-74.5075498
195,40.9036205,-74.5034723
196,40.9027592,-74.4992809
197,40.901595,-74.4950284
198,40.900596,-74.4907673
199,40.9002299,-74.4865501
200,40.9007585,-74.4824049
201,40.9017976,-74.4782826
202,40.9028647,-74.4741229
203,40.9037821,-74.469906
204,40.9045592,-74.4656369
205,40.9052083,-74.4613212
206,40.9057417,-74.4569642
207,40.9061718,-74.4525716
208,40.9065107,-74.4481487
209,40.9067707,-74.4437011
210,40.9069642,-74.4392342
211,40.9071033,-74.4347534
212,40.9072005,-74.4302643
213,40.907268,-74.4257722
214,40.907318,-74.4212828
215,40.9073628,-74.4168014
216,40.9074147,-74.4123336
217,40.9074861,-74.4078847
218,40.9075891,-74.4034603
219,40.907736,-74.3990658
220,40.9079392,-74.3947068
221,40.908211,-74.3903886
222,40.9085635,-74.3861168
223,40.9090091,-74.3818967
224,40.90956,-74.377734
225,40.9102286,-74.3736341
226,40.9110271,-74.3696023
227,40.9119678,-74.3656443
228,40.913063,-74.3617655
229,40.914325,-74.3579712
230,40.915766,-74.3542671
231,40.9173983,-74.3506586
232,40.9192342,-74.3471512
233,40.9212651,-74.343746
234,40.9231871,-74.3403796
235,40.9247287,-74.3369237
236,40.9258152,-74.3332377
237,40.9263767,-74.3291805
238,40.9263448,-74.3246137
239,40.9257261,-74.319511
240,40.9246319,-74.3140044
241,40.9231815,-74.3082375
242,40.9214941,-74.3023539
243,40.919689,-74.2964971
244,40.9178854,-74.2908109
245,40.9162026,-74.2854387
246,40.9147598,-74.2805243
247,40.9136764,-74.2762113
248,40.9130714,-74.2726432
249,40.9130643,-74.2699637
250,40.9137742,-74.2683165
251,40.9153204,-74.267845
252,40.9178201,-74.2686899
253,40.9211806,-74.2706734
254,40.9249178,-74.2730253
255,40.9286104,-74.2751242
256,40.9321441,-74.2769704
257,40.9355197,-74.2785747
258,40.9389741,-74.2795385
259,40.9427797,-74.2794191
260,40.9469283,-74.2784662
261,40.9512279,-74.2773812
